x,y,label,lane,dose,seed
-4.694533,13.684874,0,dpmm-transformer,w=1,0
-6.562332,5.4042344,4,dpmm-transformer,w=1,0
-3.5630105,2.099986,0,dpmm-transformer,w=1,0
9.394901,0.77848893,0,dpmm-transformer,w=1,0
7.8240232,-1.8393707,2,dpmm-transformer,w=1,0
4.92385,-4.202465,7,dpmm-transformer,w=1,0
-5.325871,3.831156,7,dpmm-transformer,w=1,0
-1.1431549,1.0609046,5,dpmm-transformer,w=1,0
13.756895,11.908546,1,dpmm-transformer,w=1,0
13.771507,11.922278,1,dpmm-transformer,w=1,0
9.953071,1.6744666,8,dpmm-transformer,w=1,0
11.025867,3.6420088,7,dpmm-transformer,w=1,0
6.6715355,-3.3267372,5,dpmm-transformer,w=1,0
-7.21616,7.398363,6,dpmm-transformer,w=1,0
-7.623108,7.836578,4,dpmm-transformer,w=1,0
5.998961,-4.315556,9,dpmm-transformer,w=1,0
6.5665812,-3.4237323,2,dpmm-transformer,w=1,0
-4.321027,2.2074573,2,dpmm-transformer,w=1,0
-2.9847455,14.361532,8,dpmm-transformer,w=1,0
4.0710344,-5.0311646,5,dpmm-transformer,w=1,0
6.504352,-3.5082338,8,dpmm-transformer,w=1,0
9.665409,1.1735075,0,dpmm-transformer,w=1,0
3.9737031,-4.7718377,7,dpmm-transformer,w=1,0
9.90201,1.6232316,9,dpmm-transformer,w=1,0
-6.2992973,4.9478416,4,dpmm-transformer,w=1,0
-2.89531,14.430537,2,dpmm-transformer,w=1,0
-3.2046633,1.7201785,7,dpmm-transformer,w=1,0
-5.517927,3.9407213,4,dpmm-transformer,w=1,0
3.9498103,-5.0314994,5,dpmm-transformer,w=1,0
13.801649,7.7426367,7,dpmm-transformer,w=1,0
4.410167,-4.7695103,7,dpmm-transformer,w=1,0
-6.6922226,5.594877,7,dpmm-transformer,w=1,0
5.6784277,-4.498022,0,dpmm-transformer,w=1,0
-6.2196946,12.3605385,0,dpmm-transformer,w=1,0
-6.694613,11.9079275,0,dpmm-transformer,w=1,0
-6.499702,11.896056,2,dpmm-transformer,w=1,0
10.449057,2.5622141,8,dpmm-transformer,w=1,0
-4.1723804,3.216199,9,dpmm-transformer,w=1,0
3.9559505,-4.8740783,5,dpmm-transformer,w=1,0
-4.2825937,2.17188,4,dpmm-transformer,w=1,0
-6.364344,12.222924,7,dpmm-transformer,w=1,0
-7.1620317,11.277269,6,dpmm-transformer,w=1,0
-7.5017447,7.02285,2,dpmm-transformer,w=1,0
7.9418364,-1.7661932,0,dpmm-transformer,w=1,0
3.8824444,-4.9959917,5,dpmm-transformer,w=1,0
-7.089133,11.357865,2,dpmm-transformer,w=1,0
4.433309,-4.3578796,0,dpmm-transformer,w=1,0
-4.503082,13.8668585,6,dpmm-transformer,w=1,0
11.10025,3.7510157,0,dpmm-transformer,w=1,0
-6.3378925,4.9953914,4,dpmm-transformer,w=1,0
-4.197801,3.2294521,6,dpmm-transformer,w=1,0
7.847582,-1.8896296,5,dpmm-transformer,w=1,0
6.727846,-3.2584872,5,dpmm-transformer,w=1,0
-7.6604238,8.129181,5,dpmm-transformer,w=1,0
